Species,Order,Body_Mass,ClutchSize,GenSizMed,IUCNStat_2020,IUCNTrend_2020,PhyloPosition,RangeSize (km^2),Latitude,AnnTempRange,PpSeasonality
Acris_crepitans,Anura,4.535760383,270,4.115,LC,Stable,1175,3140335.079,36.22527493,39,17
Acris_gryllus,Anura,2.87168246,207.5,4.49,LC,Stable,1177,638456.063,32.18263349,31,23
Adelotus_brevis,Anura,7.844401156,440.5,2.1,NT,Decreasing,3632,509103.0714,-27.68251451,29,34
Adenomera_hylaedactyla,Anura,2.108745242,18.5,1.993,LC,Stable,724,8858373.69,-6.355226052,15,59
Afrixalus_fornasini,Anura,5.355815679,50.5,5.57,LC,NA,5853,921665.5285,-15.12031539,20,99
Agalychnis_callidryas,Anura,45.08492001,138,5.255,LC,Decreasing,1919,454757.4094,15.13327477,16,55
Aglyptodactylus_madagascariensis,Anura,31.33446647,1811,3.05,LC,Decreasing,4233,110619.8295,-19.68207713,16,61
Allobates_femoralis,Anura,3.806898983,28,7.11,LC,Stable,3508,5232863.616,-4.246158329,11,36
Allophryne_ruthveni,Anura,2.345109567,300,2.077,LC,Decreasing,992,2831429.709,-1.708048955,11,50
Alytes_cisternasii,Anura,11.03606029,110,6.7,LC,Decreasing,6364,169878.6853,39.34449332,31,49
Alytes_dickhilleni,Anura,16.87,93.5,11.496,VU,Decreasing,6360,30326.34378,37.57903664,30,45
Alytes_muletensis,Anura,5.355815679,14,4.282,EN,Increasing,6361,228.4097462,39.76940418,22,42
Alytes_obstetricans,Anura,15.02887126,95.5,9.78,LC,Decreasing,6363,1035503.513,45.32706743,25,13
Ameerega_trivittata,Anura,15.02887126,34.5,8.49,LC,Stable,3351,4028298.776,-3.099823001,10,31
Amietia_angolensis,Anura,141.9918934,450,2.61,LC,Decreasing,4913,4193182.704,-14.86526572,24,119
Amietophrynus_maculatus,Anura,61.58409585,5000,3.31,LC,Stable,207,7629393.491,-4.536354445,12,50
Amietophrynus_pardalis,Anura,363.2949952,14000,7.31,LC,NA,187,30643.46455,-33.03930435,22,30
Amietophrynus_regularis,Anura,243.9651047,12000,3.99,LC,Stable,204,6812697.536,9.574732264,21,108
Anaxyrus_americanus,Anura,431.3461762,11150,5,LC,Stable,377,5499650.657,45.7680702,38,16
Anaxyrus_cognatus,Anura,163.9880694,23177,5.6,LC,NA,386,2757302.433,37.16651224,40,61
Anaxyrus_debilis,Anura,14.16142746,1650,5.3,LC,Stable,384,1384682.395,29.98856265,35,57
Anaxyrus_fowleri,Anura,88.30305551,8999,5.29,LC,Stable,378,1951194.961,36.49935019,35,13
Anaxyrus_punctatus,Anura,43.22005921,2515,5.3,LC,Stable,389,2328136.538,31.70329929,38,70
Anaxyrus_quercicus,Anura,3.474815212,3305,3.32,LC,Stable,387,430104.4945,31.55703413,30,28
Anaxyrus_retiformis,Anura,34.37385972,162.5,6.7,LC,Stable,385,49508.83943,31.00018166,36,86
Anaxyrus_terrestris,Anura,170.0707105,9120.5,5.45,LC,Stable,379,521057.2087,31.80188582,30,22
Anodonthyla_boulengerii,Anura,0.892814212,26.5,4.75,NT,Decreasing,5583,80580.1235,-19.98936276,16,63
Arthroleptis_stenodactylus,Anura,7.844401156,55,3.37,LC,Stable,6025,2317087.435,-14.2467972,23,113
Arthroleptis_xenodactyloides,Anura,1.16809154,21.5,2.722,LC,Stable,6043,1068114.732,-12.70453307,18,106
Ascaphus_montanus,Anura,15.93237273,60,3.924,LC,NA,6380,252235.3347,46.39827328,38,21
Ascaphus_truei,Anura,11.76734864,57.5,4.16,LC,NA,6379,323995.4656,47.2117818,21,61
Astylosternus_batesi,Anura,39.30628713,NA,4.778,LC,Decreasing,5991,599431.6006,0.244675692,12,61
Astylosternus_diadematus,Anura,16.87274654,NA,4.708,LC,Decreasing,5996,10357.92363,5.127554802,12,70
Atelopus_flavescens,Anura,5.355815679,NA,6.86,VU,Stable,439,443.3514146,4.933964476,10,51
Babina_okinavana,Anura,10.33681038,499.5,4.35,EN,Decreasing,4397,2053.229196,26.75702165,18,30
Barbarophryne_brongersmai,Anura,12.68830706,690,5.7,NT,Decreasing,42,88024.7326,30.41429757,35,63
Batrachyla_taeniata,Anura,7.844401156,185,2.59,LC,Decreasing,2022,177334.5576,-41.35597551,19,42
Bombina_bombina,Anura,19.92330124,503,11.385,LC,Decreasing,6371,3238760.289,50.99979241,35,25
Bombina_orientalis,Anura,25.82203859,166.5,8.4,LC,Decreasing,6372,971458.6884,43.47110728,50,97
Bombina_variegata,Anura,15.93237273,107.5,9.6,LC,Decreasing,6369,1150987.109,46.01001614,31,22
Boophis_goudotii,Anura,105.9666709,1000,4.2,LC,Stable,4163,52073.63768,-18.90270343,17,100
Boophis_luteus,Anura,19.92330124,560,4.75,LC,Decreasing,4177,40626.23216,-19.95039563,17,68
Boophis_madagascariensis,Anura,114.7476654,402.5,3.9,LC,Decreasing,4175,84024.12158,-19.13752092,17,75
Boophis_tephraeomystax,Anura,32.82985012,1000,3.5,LC,Stable,4229,110815.8595,-17.43940923,16,78
Breviceps_mossambicus,Anura,17.85081091,25,2.49,LC,NA,6085,1554837.37,-16.5598844,22,106
Buergeria_oxycephala,Anura,25.18400088,NA,1.637,VU,Decreasing,4027,12471.73641,18.92908303,17,79
Bufo_bufo,Anura,1341.531073,7500,6.6,LC,Stable,78,12145850.04,53.93308942,38,32
Bufo_gargarizans,Anura,269.1353825,7600,5.74,LC,Stable,63,4089988.959,38.88910907,47,117
Bufo_verrucosissimus,Anura,834.2820843,5345,6.8,NT,Decreasing,79,53782.72622,40.74369869,33,50
Bufotes_viridis,Anura,310.1744965,19475,4.83,LC,Decreasing,157,4052860.677,49.99848362,33,33
Cardioglossa_leucomystax,Anura,5.226759199,25,3.154,LC,Decreasing,6055,1548036.326,2.029894919,14,51
Centrolene_savagei,Anura,1.02337705,19,2.992,LC,Stable,896,1212.551221,4.551892394,12,35
Ceratophrys_ornata,Anura,528.2010128,1250,3.35,NT,Decreasing,2134,619221.868,-35.21989131,28,37
Conraua_goliath,Anura,5497.217769,100,3.074,EN,Decreasing,5015,63244.25969,3.166566093,10,59
Crinia_signifera,Anura,3.474815212,247,2.12,LC,Stable,3581,982954.7552,-33.79396034,29,13
Cyclorana_alboguttata,Anura,57.01173656,3743,2.85,LC,Stable,1711,1268739.993,-22.03918807,27,75
Dendrobates_tinctorius,Anura,11.03606029,10,8.95,LC,Stable,3328,482246.5915,1.727105315,13,63
Dendropsophus_brevifrons,Anura,1.16809154,74.5,2.554,LC,Stable,1449,1486146.387,-3.29641958,11,21
Dendropsophus_koechlini,Anura,1.889386307,275,2.88,LC,Stable,1444,1137816.274,-8.374827243,14,54
Dendropsophus_microcephalus,Anura,2.599184929,217,2.85,LC,Increasing,1405,5170903.012,-0.525274364,11,39
Dendropsophus_nanus,Anura,0.996002873,325.5,1.89,LC,Stable,1399,7925171.973,-13.57540639,20,74
