Order,species.name,phylo.name,mean.uvb
Anura,Allophryne_relicta,Allophryne_relicta,
Anura,Allophryne_resplendens,Allophryne_resplendens,
Anura,Allophryne_ruthveni,Allophryne_ruthveni,5524.83
Anura,Alsodes_australis,Alsodes_australis,1890.79
Anura,Alsodes_barrioi,Alsodes_barrioi,3254.52
Anura,Alsodes_cantillanensis,,3933.04
Anura,Alsodes_coppingeri,Alsodes_coppingeri,1967.96
Anura,Alsodes_gargola,Alsodes_gargola,2783.72
Anura,Alsodes_hugoi,Alsodes_hugoi,3712.35
Anura,Alsodes_igneus,Alsodes_igneus,3055.69
Anura,Alsodes_kaweshkari,Alsodes_kaweshkari,1608.75
Anura,Alsodes_montanus,Alsodes_montanus,4904.44
Anura,Alsodes_monticola,Alsodes_monticola,1593.68
Anura,Alsodes_neuquensis,Alsodes_neuquensis,3316.21
Anura,Alsodes_nodosus,Alsodes_nodosus,3899.1
Anura,Alsodes_norae,Alsodes_norae,2901.11
Anura,Alsodes_pehuenche,Alsodes_pehuenche,3774.96
Anura,Alsodes_tumultuosus,Alsodes_tumultuosus,5256.37
Anura,Alsodes_valdiviensis,Alsodes_valdiviensis,2785.76
Anura,Alsodes_vanzolinii,Alsodes_vanzolinii,3398.9
Anura,Alsodes_verrucosus,Alsodes_verrucosus,2628.93
Anura,Alsodes_vittatus,Alsodes_vittatus,3331.95
Anura,Eupsophus_altor,Eupsophus_altor,
Anura,Eupsophus_calcaratus,Eupsophus_calcaratus,2133.28
Anura,Eupsophus_contulmoensis,Eupsophus_contulmoensis,3216.68
Anura,Eupsophus_emiliopugini,Eupsophus_emiliopugini,2382.62
Anura,Eupsophus_insularis,Eupsophus_insularis,3096.38
Anura,Eupsophus_migueli,Eupsophus_migueli,2926.32
Anura,Eupsophus_nahuelbutensis,Eupsophus_nahuelbutensis,3271.04
Anura,Eupsophus_roseus,Eupsophus_roseus,3140.5
Anura,Eupsophus_septentrionalis,Eupsophus_septentrionalis,3570.83
Anura,Eupsophus_vertebralis,Eupsophus_vertebralis,2936.86
Anura,Limnomedusa_macroglossa,Limnomedusa_macroglossa,3735.53
Anura,Alytes_cisternasii,Alytes_cisternasii,2906.41
Anura,Alytes_dickhilleni,Alytes_dickhilleni,3135.05
Anura,Alytes_maurus,Alytes_maurus,3361.57
Anura,Alytes_muletensis,Alytes_muletensis,2819.9
Anura,Alytes_obstetricans,Alytes_obstetricans,2184.96
Anura,Discoglossus_galganoi,Discoglossus_galganoi,2802.81
Anura,Discoglossus_jeanneae,,
Anura,Discoglossus_montalentii,Discoglossus_montalentii,2582.4
Anura,Discoglossus_pictus,Discoglossus_pictus,3199.14
Anura,Discoglossus_sardus,Discoglossus_sardus,2732.26
Anura,Discoglossus_scovazzi,Discoglossus_scovazzi,3719.16
Anura,Latonia_nigriventer,Latonia_nigriventer,3771.06
Anura,Allobates_alessandroi,Allobates_alessandroi,4547
Anura,Allobates_algorei,Allobates_algorei,5080.8
Anura,Allobates_amissibilis,Allobates_amissibilis,6071.27
Anura,Allobates_bacurau,,
Anura,Allobates_bromelicola,Allobates_bromelicola,5011.9
Anura,Allobates_brunneus,Allobates_brunneus,5341.03
Anura,Allobates_caeruleodactylus,Allobates_caeruleodactylus,5196.18
Anura,Allobates_caribe,Allobates_caribe,5609.48
Anura,Allobates_cepedai,Allobates_cepedai,5304.07
Anura,Allobates_chalcopis,Allobates_chalcopis,5201.78
Anura,Allobates_conspicuus,Allobates_conspicuus,5157.34
Anura,Allobates_crombiei,Allobates_crombiei,5936.99
Anura,Allobates_femoralis,Allobates_femoralis,5370.59
Anura,Allobates_flaviventris,Allobates_flaviventris,
Anura,Allobates_fratisenescus,Allobates_fratisenescus,5005.7
Anura,Allobates_fuscellus,Allobates_fuscellus,5183.79
Anura,Allobates_gasconi,Allobates_gasconi,5185.56
Anura,Allobates_goianus,Allobates_goianus,5118.08
Anura,Allobates_granti,Allobates_granti,5901.15
Anura,Allobates_grillisimilis,Allobates_grillisimilis,
Anura,Allobates_hodli,Allobates_hodli,
Anura,Allobates_humilis,Allobates_humilis,4979.79
Anura,Allobates_ignotus,Allobates_ignotus,5334.06
Anura,Allobates_insperatus,Allobates_insperatus,5125.25
Anura,Allobates_juami,,
Anura,Allobates_juanii,Allobates_juanii,4967.91
Anura,Allobates_kingsburyi,Allobates_kingsburyi,4782.66
Anura,Allobates_magnussoni,,
Anura,Allobates_mandelorum,Allobates_mandelorum,5043.33
Anura,Allobates_marchesianus,Allobates_marchesianus,5271.03
Anura,Allobates_masniger,Allobates_masniger,5659.03
